alex@Alex-PC:/mnt/d/rd_cryptography_hw/lesson2_hw/task1$ dieharder -a -g 201 -f rnd-openssl.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  5.68e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   0|   1000000|     100|0.83105024|  PASSED
# The file file_input_raw was rewound 21 times
      rgb_lagged_sum|   1|   1000000|     100|0.94298903|  PASSED
# The file file_input_raw was rewound 22 times
      rgb_lagged_sum|   2|   1000000|     100|0.88066574|  PASSED
# The file file_input_raw was rewound 24 times
      rgb_lagged_sum|   3|   1000000|     100|0.86007504|  PASSED
# The file file_input_raw was rewound 26 times
      rgb_lagged_sum|   4|   1000000|     100|0.53755470|  PASSED
# The file file_input_raw was rewound 28 times
      rgb_lagged_sum|   5|   1000000|     100|0.59722928|  PASSED
# The file file_input_raw was rewound 31 times
      rgb_lagged_sum|   6|   1000000|     100|0.72666565|  PASSED
# The file file_input_raw was rewound 34 times
      rgb_lagged_sum|   7|   1000000|     100|0.27748222|  PASSED
# The file file_input_raw was rewound 38 times
      rgb_lagged_sum|   8|   1000000|     100|0.41718914|  PASSED
# The file file_input_raw was rewound 42 times
      rgb_lagged_sum|   9|   1000000|     100|0.00028252|   WEAK
# The file file_input_raw was rewound 46 times
      rgb_lagged_sum|  10|   1000000|     100|0.79409418|  PASSED
# The file file_input_raw was rewound 51 times
      rgb_lagged_sum|  11|   1000000|     100|0.13971673|  PASSED
# The file file_input_raw was rewound 56 times
      rgb_lagged_sum|  12|   1000000|     100|0.94335627|  PASSED
# The file file_input_raw was rewound 62 times
      rgb_lagged_sum|  13|   1000000|     100|0.83085830|  PASSED
# The file file_input_raw was rewound 68 times
      rgb_lagged_sum|  14|   1000000|     100|0.14797038|  PASSED
# The file file_input_raw was rewound 74 times
      rgb_lagged_sum|  15|   1000000|     100|0.07695994|  PASSED
# The file file_input_raw was rewound 81 times
      rgb_lagged_sum|  16|   1000000|     100|0.06172772|  PASSED
# The file file_input_raw was rewound 88 times
      rgb_lagged_sum|  17|   1000000|     100|0.09274620|  PASSED
# The file file_input_raw was rewound 96 times
      rgb_lagged_sum|  18|   1000000|     100|0.47647133|  PASSED
# The file file_input_raw was rewound 104 times
      rgb_lagged_sum|  19|   1000000|     100|0.00788642|  PASSED
# The file file_input_raw was rewound 112 times
      rgb_lagged_sum|  20|   1000000|     100|0.75633834|  PASSED
# The file file_input_raw was rewound 121 times
      rgb_lagged_sum|  21|   1000000|     100|0.56143448|  PASSED
# The file file_input_raw was rewound 130 times
      rgb_lagged_sum|  22|   1000000|     100|0.99003995|  PASSED
# The file file_input_raw was rewound 140 times
      rgb_lagged_sum|  23|   1000000|     100|0.13668789|  PASSED
# The file file_input_raw was rewound 150 times
      rgb_lagged_sum|  24|   1000000|     100|0.00000001|  FAILED
# The file file_input_raw was rewound 160 times
      rgb_lagged_sum|  25|   1000000|     100|0.37806538|  PASSED
# The file file_input_raw was rewound 171 times
      rgb_lagged_sum|  26|   1000000|     100|0.27661732|  PASSED
# The file file_input_raw was rewound 182 times
      rgb_lagged_sum|  27|   1000000|     100|0.91531718|  PASSED
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  28|   1000000|     100|0.81844345|  PASSED
# The file file_input_raw was rewound 206 times
      rgb_lagged_sum|  29|   1000000|     100|0.06052513|  PASSED
# The file file_input_raw was rewound 218 times
      rgb_lagged_sum|  30|   1000000|     100|0.76614454|  PASSED
# The file file_input_raw was rewound 231 times
      rgb_lagged_sum|  31|   1000000|     100|0.00711204|  PASSED
# The file file_input_raw was rewound 244 times
      rgb_lagged_sum|  32|   1000000|     100|0.75176123|  PASSED
# The file file_input_raw was rewound 244 times
     rgb_kstest_test|   0|     10000|    1000|0.91019797|  PASSED
# The file file_input_raw was rewound 245 times
     dab_bytedistrib|   0|  51200000|       1|0.67466067|  PASSED
# The file file_input_raw was rewound 245 times
             dab_dct| 256|     50000|       1|0.96273588|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 246 times
        dab_filltree|  32|  15000000|       1|0.82100346|  PASSED
        dab_filltree|  32|  15000000|       1|0.45042865|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 246 times
       dab_filltree2|   0|   5000000|       1|0.67525948|  PASSED
       dab_filltree2|   1|   5000000|       1|0.33925599|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 246 times
        dab_monobit2|  12|  65000000|       1|0.69775637|  PASSED
